DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-05-23 00:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,10.74,11.42,11.06914,77,81.1,79.36069,0,2.29,0.99397,68,144,115.74138,0,0,0,11,11.6,11.31724,10.88,12.9,11.90483
2020-05-20 13:00:00,ESENLER,ICING_SENSOR,30.04,31.28,30.49544,50.25,53.92,52.4207,1.25,3.81,2.21,16,345,75.87719,0,0,0,41.8,43.3,42.61053,31.64,33.17,32.22632
2020-05-27 22:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,12.44,12.84,12.63566,84,85.7,84.83019,0,4.05,1.5934,10,313,145.30189,0,0.12,0.0066,13.3,13.8,13.60377,11.9,14.18,13.11509
2020-05-27 23:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,12.23,12.57,12.43627,85.9,88.8,87.76441,0,2.37,1.13119,17,300,202.15254,0,0.13,0.0161,12.9,13.3,13.16949,12.23,14.2,13.37322
2020-05-23 01:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,10.47,10.81,10.58386,81.4,82.2,81.78421,0,1.81,0.94281,91,307,137.92982,0,0,0,10.6,11,10.77193,10.56,12.36,11.5293
2020-05-02 20:00:00,ZINCIRLIKUYU,ICING_SENSOR,17.18,19.16,17.81263,56.5,64.58,61.69965,1.49,6.45,3.12649,202,321,265.7193,0,0.13,0.02158,23.1,25,24.49649,17.48,20.21,18.37
2020-05-29 06:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,14.94,15.21,15.05984,79.84,81.5,80.59839,1.25,3.57,2.34677,84,300,246.45161,0,0,0,18.3,18.6,18.42258,14.76,16.49,15.60532
2020-05-02 21:00:00,SARIYER_ITU_MASLAK,AUTOMATED_WEATHER_SENSOR,15.2,17.4,16.00769,64,89,78.80769,176.3,254.8,248.55769,64,308,223.86538,-99,-99,-99,-99,-99,-99,7.54,11.79,9.01596
2020-05-01 18:00:00,GUNGOREN_DAVUTPASA_MARMARA,AUTOMATED_WEATHER_SENSOR,16.4,17.2,16.8,70,79,74.84746,0,1.3,0.47119,0,179,130.30508,0,0,0,-99,-99,-99,16.5,19.65,18.70169
2020-05-02 02:00:00,PASAKOY,ICING_SENSOR,12.24,12.78,12.39017,85.9,88.6,87.39483,0.228,1.827,0.65962,3,335,270.32759,0,0,0,16.1,16.7,16.29138,12.62,14.97,14.05759
2020-05-03 08:00:00,SARIYER_ITU_MASLAK,AUTOMATED_WEATHER_SENSOR,19.2,20.1,19.574,59,67,62.9,246.1,258.1,251.378,0,338,159.9,-99,-99,-99,-99,-99,-99,14.58,16.17,15.2406
2020-05-21 21:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,13.5,14,13.84545,73,83,78.07273,3.7,7.6,5.56727,0,359,22.23636,0,0.2,0.00364,-99,-99,-99,12.3,13.47,12.83782
2020-05-20 09:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,30.02,32.59,31.28867,37.72,43.41,40.559,1.25,3.41,2.28867,189,342,247.78333,0,0.05,0.00167,36.3,40.7,38.54333,30.27,32.98,31.44383
2020-05-03 07:00:00,SARIYER_ITU_MASLAK,AUTOMATED_WEATHER_SENSOR,17.7,20.3,18.82128,61,73,68.23404,234.1,257.3,244.24681,19,169,87.08511,-99,-99,-99,-99,-99,-99,12.02,16.49,13.97723
2020-05-21 23:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,12.3,13.4,12.94643,77,83,80.92857,4.7,10.7,6.56964,0,359,56.08929,0,0.2,0.00893,-99,-99,-99,10.05,12.46,11.47518
2020-05-03 01:00:00,ZINCIRLIKUYU,ICING_SENSOR,14.44,15.33,14.76423,79.66,85.2,82.53308,0,1.57,0.70192,113,197,157.42308,0,0,0,18.5,18.9,18.71923,14.85,17.09,15.86423
2020-05-03 13:00:00,PASAKOY,ICING_SENSOR,19.2,19.58,19.37889,58.06,61.14,60.00222,0.866,3.389,1.96867,265,309,288.66667,0,16.71,1.85667,28.2,30.7,28.95556,19.96,21.21,20.60111
2020-05-30 19:00:00,RIVA_TUNEL_G,ICING_SENSOR,14.42,15.56,14.91424,77.87,84.8,81.89949,0,1.06,0.54576,28,337,192.76271,0,0,0,22.2,23.1,22.51525,15.4,17.81,16.75695
2020-05-02 09:00:00,SABIHAGOKCEN,ICING_SENSOR,22.01,23.17,22.60763,43.91,48.67,46.06492,0.432,4.451,2.40171,229,319,270.67797,0,0,0,43.4,47,45.10508,23.37,25.1,24.25356
2020-05-02 01:00:00,SABIHAGOKCEN,ICING_SENSOR,11.81,12.19,11.94576,85.6,87.1,86.39322,0,0.875,0.20131,5,350,250.27119,0.01,0.01,0.01,18.1,18.7,18.43729,11.84,14.65,12.98407
2020-05-31 15:00:00,ARNAVUTKOY_MGM,AUTOMATED_WEATHER_SENSOR,22.3,23.3,22.67833,36,40,38.11667,2.7,6.4,4.855,179,223,196.28333,0,0,0,-99,-99,-99,23.44,24.9,23.85133
2020-05-03 12:00:00,SABIHAGOKCEN,ICING_SENSOR,21.27,22.39,21.97692,49.09,55.96,51.66154,0.838,1.818,1.27608,10,337,198.84615,0,0,0,32.1,34.5,33.58462,23.14,24.17,23.81615
2020-05-26 11:00:00,ESENLER,ICING_SENSOR,20.04,20.72,20.31083,50.88,54.28,52.25583,1.41,4.85,2.73,1,143,69.91667,0,0,0,34.7,44,39.4,20.65,21.75,21.1875
2020-05-28 05:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,14,14.9,14.44333,92,100,95.43333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-05-21 14:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,16.23,16.91,16.61131,86.5,90,88.19344,1.25,4.37,3.04148,2,352,193.7541,0,0.56,0.2359,21.2,23.8,22.56557,16.35,18.15,16.96328
2020-05-28 05:00:00,ESENLER,ICING_SENSOR,13.64,15.89,14.70317,80.9,92,86.465,0,2.05,0.8915,2,347,215.85,0,0,0,14,18.8,16.13167,13.64,17.47,15.965
2020-05-30 09:00:00,ARNAVUTKOY_MGM,AUTOMATED_WEATHER_SENSOR,18,20,18.93833,61,72,67.26667,4,7,5.53,159,206,181.06667,0,0,0,-99,-99,-99,17.97,20.57,19.14233
2020-05-23 08:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,10.07,14.13,11.19133,57.72,84.9,78.42217,1.01,5.09,2.48867,14,346,163.86667,0.13,0.35,0.2495,14.5,17.7,15.11167,9.5,12.32,10.75567
